"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",16.45972,47.82083,2597549749,-5,10,54,105,155,186,205,200,154,102,48,7,"Deschampsia flexuosa",20,76.1
"2",13.12,48.42,1947036504,-2,10,52,97,148,177,195,191,148,102,46,12,"Deschampsia flexuosa",20,71
"3",13.62,48.62,1947036381,-12,-1,41,87,138,167,185,182,138,91,36,2,"Deschampsia flexuosa",20,63.8
"4",13.29,48.67,1947036457,-5,6,48,94,145,174,191,188,145,97,42,8,"Deschampsia flexuosa",20,68.4
"5",13.46,48.72,1947036316,-8,3,45,91,142,171,189,185,142,94,39,6,"Deschampsia flexuosa",20,66.4
"6",13.37,48.77,1947036521,-17,-7,35,80,131,160,178,174,132,84,30,-4,"Deschampsia flexuosa",20,58.9
"7",11.96,49.12,1947036530,-7,2,43,86,137,166,185,181,137,90,36,6,"Deschampsia flexuosa",20,63.2
"8",12.04,49.42,1947038925,-12,-3,37,81,131,161,179,176,132,84,32,2,"Deschampsia flexuosa",20,59.4
"9",6.04,49.65,2545426499,11,16,51,84,128,157,178,174,137,97,50,23,"Deschampsia flexuosa",20,60.6
"10",6,49.85,2545422474,9,14,48,81,124,153,174,171,134,95,48,21,"Deschampsia flexuosa",20,58.2
"11",6,49.85,2545427130,9,14,48,81,124,153,174,171,134,95,48,21,"Deschampsia flexuosa",20,58.2
"12",6.01,49.85,2545416503,9,14,49,82,125,153,175,171,135,95,49,22,"Deschampsia flexuosa",20,58.6
"13",6.01,49.85,2545421466,9,14,49,82,125,153,175,171,135,95,49,22,"Deschampsia flexuosa",20,58.6
"14",6.01,49.85,2545427681,9,14,49,82,125,153,175,171,135,95,49,22,"Deschampsia flexuosa",20,58.6
"15",6.01,49.86,2545419461,6,11,45,79,122,150,172,168,132,92,46,19,"Deschampsia flexuosa",20,56.5
"16",6.01,49.86,2545424509,6,11,45,79,122,150,172,168,132,92,46,19,"Deschampsia flexuosa",20,56.5
"17",6.04,49.86,2545415499,9,14,49,82,125,154,175,171,135,95,49,22,"Deschampsia flexuosa",20,58.7
"18",6.05,49.86,2545429200,10,16,50,83,126,155,176,173,136,96,50,23,"Deschampsia flexuosa",20,59.5
"19",6.05,49.87,2545428489,8,13,47,80,123,152,173,170,133,94,47,20,"Deschampsia flexuosa",20,57.5
"20",10.21,49.92,1947036410,4,11,50,91,138,168,188,185,142,96,46,17,"Deschampsia flexuosa",20,65.8
"21",10.62,50.12,1947036226,-4,2,41,82,130,160,180,177,134,88,39,9,"Deschampsia flexuosa",20,60.1
"22",9.68,50.27,1947038750,-2,4,42,81,127,157,177,174,133,88,40,11,"Deschampsia flexuosa",20,58.7
"23",10.21,50.37,1947036239,1,6,45,86,133,162,182,179,138,92,43,14,"Deschampsia flexuosa",20,62.2
"24",4.30528,50.69361,2012680618,28,31,61,90,129,156,178,176,145,108,65,39,"Deschampsia flexuosa",20,65.8
"25",4.27698,50.6936,2012680602,28,32,61,90,130,157,178,176,145,109,66,39,"Deschampsia flexuosa",20,66.2
"26",4.30527,50.7026,2382890936,27,31,60,89,129,156,177,175,144,108,65,38,"Deschampsia flexuosa",20,65.3
"27",3.66049,50.74994,2284913232,32,35,64,91,130,157,178,177,147,111,69,43,"Deschampsia flexuosa",20,67.4
"28",4.62405,50.75178,2284913529,29,32,62,92,132,159,180,178,146,109,66,39,"Deschampsia flexuosa",20,67.4
"29",4.62405,50.75178,2284915049,29,32,62,92,132,159,180,178,146,109,66,39,"Deschampsia flexuosa",20,67.4
"30",5.9,50.75,1967762976,20,24,56,88,130,157,178,175,141,103,59,32,"Deschampsia flexuosa",20,63.7
"31",5.95,50.75,1967905101,20,24,56,89,131,157,179,175,141,103,59,32,"Deschampsia flexuosa",20,64
"32",5.95,50.75,1967301734,20,24,56,89,131,157,179,175,141,103,59,32,"Deschampsia flexuosa",20,64
"33",4.61703,50.76528,2574786076,29,32,62,92,132,159,180,178,146,109,66,39,"Deschampsia flexuosa",20,67.4
"34",4.60286,50.76531,2574844151,31,35,65,95,134,161,182,180,148,112,69,42,"Deschampsia flexuosa",20,69.6
"35",3.77338,50.78652,2284913316,33,36,64,93,131,158,180,178,148,112,70,44,"Deschampsia flexuosa",20,68.4
"36",4.62424,50.78774,2284912566,31,34,64,94,134,161,182,180,148,112,69,42,"Deschampsia flexuosa",20,69.4
"37",4.62424,50.78774,2284912962,31,34,64,94,134,161,182,180,148,112,69,42,"Deschampsia flexuosa",20,69.4
"38",4.68121,50.82356,2284913684,30,34,64,94,134,160,182,179,148,111,68,41,"Deschampsia flexuosa",20,69
"39",4.68121,50.82356,2284913749,30,34,64,94,134,160,182,179,148,111,68,41,"Deschampsia flexuosa",20,69
"40",4.70259,50.83698,2574878762,30,33,63,93,133,160,181,179,147,111,68,41,"Deschampsia flexuosa",20,68.5
"41",4.70266,50.84597,2574764572,30,33,63,93,134,160,181,179,147,111,68,41,"Deschampsia flexuosa",20,68.6
"42",4.68846,50.84601,2574794004,29,33,63,93,133,159,181,178,147,110,67,40,"Deschampsia flexuosa",20,68.1
"43",5.85,50.85,1967026071,26,29,61,94,136,162,183,180,146,109,65,37,"Deschampsia flexuosa",20,68.6
"44",4.68145,50.85951,2284913395,32,36,65,95,136,162,183,181,149,113,70,43,"Deschampsia flexuosa",20,70.4
"45",4.68145,50.85951,2284914255,32,36,65,95,136,162,183,181,149,113,70,43,"Deschampsia flexuosa",20,70.4
"46",5.56985,50.88526,2382890368,27,31,62,94,136,162,183,180,147,110,66,39,"Deschampsia flexuosa",20,69
"47",5.55564,50.8854,2382879286,28,31,63,95,136,162,184,181,147,110,66,39,"Deschampsia flexuosa",20,69.4
"48",5.52767,50.90366,2382882258,28,32,63,95,136,163,184,181,148,110,67,39,"Deschampsia flexuosa",20,69.7
"49",5.51345,50.9038,2382840089,28,32,63,95,136,162,184,180,147,110,66,39,"Deschampsia flexuosa",20,69.3
"50",4.74584,50.91776,2574877307,32,36,66,96,136,162,184,181,150,113,70,43,"Deschampsia flexuosa",20,70.8
"51",5.62765,50.92061,2382846658,26,30,61,93,135,161,182,179,146,108,65,38,"Deschampsia flexuosa",20,68
"52",5.55655,50.92135,2382888340,27,30,62,93,135,161,182,179,146,109,65,38,"Deschampsia flexuosa",20,68.2
"53",5.08726,50.92515,2574734115,31,34,65,96,137,163,184,181,149,112,69,42,"Deschampsia flexuosa",20,70.6
"54",4.87392,50.92626,2574860296,31,34,64,95,135,162,183,180,148,112,69,42,"Deschampsia flexuosa",20,69.8
"55",5.65634,50.92929,2574734129,28,32,63,95,137,163,184,181,148,110,67,39,"Deschampsia flexuosa",20,69.8
"56",4.85263,50.93085,2284914096,31,35,65,95,136,162,183,181,149,112,69,42,"Deschampsia flexuosa",20,70.2
"57",4.73883,50.93126,2284914446,33,36,66,96,136,163,184,181,150,113,71,43,"Deschampsia flexuosa",20,71
"58",5.65009,50.96083,2284911488,27,30,62,94,135,162,183,180,146,109,65,38,"Deschampsia flexuosa",20,68.6
"59",5.30851,50.96405,2284913148,30,33,64,95,137,163,184,181,148,111,68,41,"Deschampsia flexuosa",20,70.1
"60",-1.61112,50.9655,2534111046,54,53,70,89,121,149,169,169,147,117,83,61,"Deschampsia flexuosa",20,68.2
"61",4.79606,50.96703,2284913569,32,35,65,95,136,162,183,181,149,113,70,43,"Deschampsia flexuosa",20,70.4
"62",4.79606,50.96703,2284913580,32,35,65,95,136,162,183,181,149,113,70,43,"Deschampsia flexuosa",20,70.4
"63",5.30148,50.9686,2574795565,30,33,64,95,137,163,184,181,148,111,68,41,"Deschampsia flexuosa",20,70.1
"64",4.78899,50.97155,2574783149,32,36,66,96,136,162,184,181,150,113,70,43,"Deschampsia flexuosa",20,70.8
"65",5.31608,50.98646,2574800656,30,33,64,95,136,162,184,181,148,111,68,41,"Deschampsia flexuosa",20,69.9
"66",5.31608,50.98646,2574828363,30,33,64,95,136,162,184,181,148,111,68,41,"Deschampsia flexuosa",20,69.9
"67",5.11671,50.9879,2382857859,30,34,65,95,136,162,184,181,149,112,69,42,"Deschampsia flexuosa",20,70.3
"68",5.1383,51.00124,2284913128,30,34,64,95,136,162,184,181,149,112,69,41,"Deschampsia flexuosa",20,70.2
"69",4.91037,51.00251,2284912557,32,35,65,96,136,163,184,181,149,113,70,43,"Deschampsia flexuosa",20,70.7
"70",4.91037,51.00251,2284912933,32,35,65,96,136,163,184,181,149,113,70,43,"Deschampsia flexuosa",20,70.7
"71",4.91037,51.00251,2284913052,32,35,65,96,136,163,184,181,149,113,70,43,"Deschampsia flexuosa",20,70.7
"72",4.91037,51.00251,2284913175,32,35,65,96,136,163,184,181,149,113,70,43,"Deschampsia flexuosa",20,70.7
"73",4.91037,51.00251,2284913330,32,35,65,96,136,163,184,181,149,113,70,43,"Deschampsia flexuosa",20,70.7
"74",4.91037,51.00251,2284913811,32,35,65,96,136,163,184,181,149,113,70,43,"Deschampsia flexuosa",20,70.7
"75",4.91037,51.00251,2284913955,32,35,65,96,136,163,184,181,149,113,70,43,"Deschampsia flexuosa",20,70.7
"76",4.91037,51.00251,2284913988,32,35,65,96,136,163,184,181,149,113,70,43,"Deschampsia flexuosa",20,70.7
